ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,longitude,latitude
BIKF,large_airport,Keflavik International Airport,171,EU,IS,IS-2,Reykjavík,BIKF,KEF,,-22.60560036,63.98500061
CMN,large_airport,CMN,,AF,MA,MA-CAS,,,CMN,,0,0
CYUL,large_airport,Montreal / Pierre Elliott Trudeau International Airport,118,,CA,CA-QC,Montréal,CYUL,YUL,YUL,-73.74079895,45.47060013
CYVR,large_airport,Vancouver International Airport,14,,CA,CA-BC,Vancouver,CYVR,YVR,,-123.1839981,49.19390106
CYYC,large_airport,Calgary International Airport,3557,,CA,CA-AB,Calgary,CYYC,YYC,,-114.0199966,51.11389923
CYYZ,large_airport,Lester B. Pearson International Airport,569,,CA,CA-ON,Toronto,CYYZ,YYZ,YYZ,-79.63059998,43.67720032
DGAA,large_airport,Kotoka International Airport,205,AF,GH,GH-AA,Accra,DGAA,ACC,,-0.166786,5.6051898
EBBR,large_airport,Brussels Airport,184,EU,BE,BE-BRU,Brussels,EBBR,BRU,,4.48443985,50.90140152
EDDF,large_airport,Frankfurt am Main Airport,364,EU,DE,DE-HE,Frankfurt am Main,EDDF,FRA,,8.570556,50.033333
EDDM,large_airport,Munich Airport,1487,EU,DE,DE-BY,Munich,EDDM,MUC,,11.7861,48.353802
EDDT,large_airport,Berlin-Tegel Airport,122,EU,DE,DE-BE,Berlin,EDDT,TXL,,13.2877,52.5597
EFHK,large_airport,Helsinki Vantaa Airport,179,EU,FI,FI-ES,Helsinki,EFHK,HEL,,24.9633007,60.31719971
EGCC,large_airport,Manchester Airport,257,EU,GB,GB-ENG,Manchester,EGCC,MAN,,-2.274950027,53.35369873
EGKK,large_airport,London Gatwick Airport,202,EU,GB,GB-ENG,London,EGKK,LGW,,-0.190278,51.148102
EGLL,large_airport,London Heathrow Airport,83,EU,GB,GB-ENG,London,EGLL,LHR,,-0.461941,51.4706
EHAM,large_airport,Amsterdam Airport Schiphol,-11,EU,NL,NL-NH,Amsterdam,EHAM,AMS,,4.76389,52.308601
EIDW,large_airport,Dublin Airport,242,EU,IE,IE-D,Dublin,EIDW,DUB,,-6.27007,53.421299
EKCH,large_airport,Copenhagen Kastrup Airport,17,EU,DK,DK-84,Copenhagen,EKCH,CPH,,12.65600014,55.61790085
ENGM,large_airport,Oslo Gardermoen Airport,681,EU,NO,NO-02,Oslo,ENGM,OSL,,11.10039997,60.19390106
EPWA,large_airport,Warsaw Chopin Airport,362,EU,PL,PL-MZ,Warsaw,EPWA,WAW,,20.96710014,52.16569901
ESSA,large_airport,Stockholm-Arlanda Airport,137,EU,SE,SE-AB,Stockholm,ESSA,ARN,,17.91860008,59.65190125
EVRA,large_airport,Riga International Airport,36,EU,LV,LV-RIX,Riga,EVRA,RIX,,23.97109985,56.92359924
FAJS,large_airport,OR Tambo International Airport,5558,AF,ZA,ZA-GT,Johannesburg,FAOR,JNB,,28.246,-26.1392
